ISIC4,Activity
6920,فعاليت‌هاي حسابداري، دفترداري و حسابرسي و مشاوره مالياتي
7010,فعاليت‌هاي دفترهاي مركزي
7020,فعاليت‌هاي مشاوره‌اي مربوط به مديريت
7110,فعاليت‌هاي معماري و مهندسي و مشاوره‌هاي فني مربوط
7120,تحليل و آزمايش فني
7210,تحقيق و توسعه تجربي در علوم طبيعي و مهندسي
7220,تحقيق و توسعه تجربي در علوم اجتماعي و انساني
7310,تبليغات
7320,بازار پژوهشي و سنجش افكار عمومي
7410,فعاليت‌هاي طراحي تخصصي
7420,فعاليت‌هاي عكاسي
7490,ساير فعاليت‌هاي حرفه‌اي، علمي و فني طبقه‌بندي‌نشده در جاي ديگر
7500,فعاليت‌هاي دامپزشكي
7710,كرايه وسايل نقليه موتوري
7721,کرايه کالاهای تفريحی و ورزشي
7722,کرايه‌نوارها و ديسک‌های تصويری
7729,کرايه ساير کالاهای شخصی و خانگی
7730,کرايه‌ساير ماشين‌آلات، تجهيزات و کالاهای ملموس
7740,كرايه دارايي فكري و محصولات مشابه، به جز كارهايي با حقوق محفوظ
7800,فعاليت‌هاي آژانس هاي استخدام و كاريابي
7911,فعاليت‌هاي آژانس‌هاي مسافرتي
7912,فعاليت‌هاي گردانندگان تور
7990,رزرو كردن و ساير خدمات مربوط
8010,فعاليت‌هاي مربوط به امنيت خصوصي
8020,فعاليت‌هاي خدماتي سيستم‌هاي امنيتي
8030,فعاليت‌هاي بازجويي
8110,فعاليت‌هاي پشتيباني تركيبي تسهيلات
8121,نظافت كلي ساختمان
8129,ساير فعاليت‌هاي مربوط به نظافت ساختمان و نظافت صنعتي
8130,فعاليت‌هاي خدماتي مراقبت و نگهداري فضاي سبز
8211,فعاليت‌هاي تركيبي خدمات اداري دفتر كار
8219,فتوكپي، آماده‌سازي اسناد و ساير  فعاليت‌هاي پشتيباني تخصصي دفتر كار
8220,فعاليت‌هاي مراكز تلفن
8230,سازمان‌دهي همايش‌ها و نمايشگاه‌هاي بازرگاني
8291,فعاليت‌هاي سازمان‌هاي وصول‌كننده و دفاتر اطلاعات اعتباري
8292,فعاليت‌هاي بسته بندي
8299,ساير فعاليت‌هاي كسب و كار طبقه‌بندي‌نشده در جاي ديگر
8411,فعاليت‌هاي اداره امور عمومي
8412,تنظيم فعاليت‌هاي تامين خدمات مراقبت‌هاي بهداشتي، آموزشي، فرهنگي و ساير خدمات اجتماعي به استثناي تامين اجتماعي
8413,تنظيم امور و كمك به عملكرد كارآمدتر بنگاه‌هاي اقتصادي
8421,امور خارجه
8422,فعاليت‌هاي دفاعي
8423,فعاليت‌هاي ايمني و نظم عمومي
8430,فعاليت‌هاي تامين اجتماعي اجباري
8510,آموزش پيش‌دبستاني و ابتدايي
8521,آموزش متوسطه عمومي
8522,آموزش متوسطه فني و حرفه‌اي
8530,آموزش عالي
8541,آموزش ورزش و تفريح
8542,آموزش فرهنگي
8549,ساير آموزش‌هاي طبقه‌بندي نشده در جاي ديگر
8550,فعاليت‌هاي پشتيباني آموزش
8610,فعاليت‌هاي بيمارستاني
8620,فعاليت‌هاي پزشكي و دندانپزشكي
8690,ساير فعاليت‌هاي مربوط به سلامت انسان
8710,امكانات مراقبت‌هاي پرستاري  با تامین جا
8720,فعاليت‌هاي مراقبتی  با تامین جا براي عقب‌ماندگان ذهني، سلامت روان و اعتياد
8730,فعاليت‌هاي مراقبتی با تامین جا براي افراد سالمند و ناتوان
8790,ساير فعاليت‌هاي مراقبتی  با تامین جا
8810,فعاليت‌هاي مددكاري اجتماعي بدون تامين محل اقامت براي افراد سالمند و ناتوان
8890,سايرفعاليت‌هاي مددكاري اجتماعي بدون تامين محل اقامت
9000,فعاليت‌هاي خلاق، هنر و سرگرمي
9101,فعاليت‌هاي كتابخانه‌ها و آرشيوها
9102,فعاليت‌هاي موزه‌ها و اداره ساختمان‌ها و مكان‌هاي تاريخي
9103,فعاليت‌هاي باغ‌هاي گيا‌ه شناسي و جانورشناسي و فعاليت‌هاي مربوط به ذخاير طبيعي
9200,فعاليت‌هاي شرط‌بندي و قمار
9311,اداره تسهيلات ورزشي
9312,فعاليت‌هاي باشگاه‌هاي ورزشي
9319,ساير فعاليت‌هاي ورزشي
9321,فعاليت‌هاي شهربازي‌ها و پارك‌هاي تك‌منظوره
9329,ساير فعاليت‌هاي سرگرمي و تفريحي طبقه‌بندي‌نشده در جاي ديگر
9411,فعاليت‌هاي سازمان‌هاي داراي عضو مربوط به كسب و كار و كارفرمايان
9412,فعاليت‌هاي سازمان‌هاي حرفه‌اي داراي عضو
9420,فعاليت‌هاي اتحاديه‌هاي اصناف
9491,فعاليت سازمان‌هاي مذهبي
9492,فعاليت‌هاي سازمان‌هاي سياسي
9499,فعاليت‌هاي ساير سازمان‌هاي داراي عضو طبقه‌بندي نشده در جاي ديگر
9511,تعمير رايانه و وسايل جانبي
9512,تعمير تجهيزات ارتباطي
9521,تعمير وسايل مصرفي الكترونيك
9522,تعمير وسايل برقي خانگي و تجهيزات خانه و باغچه
9523,تعمير پاپوش و كالاهاي چرمي
9524,تعمير مبلمان و اثاثيه منزل
9529,تعمير ساير كالاهاي شخصي و خانگي
9601,شستشو و خشك‌شويي منسوجات و محصولات خزدار
9602,آرايش مو و خدمات مربوط به زيبايي
9603,مراسم خاكسپاري و فعاليت‌هاي وابسته به آن
9609,ساير فعاليت‌هاي خدماتي شخصي طبقه‌بندي نشده در جاي ديگر
9700,فعاليت‌هاي خانوارها به عنوان كارفرمايان كاركنان خانگي
9810,فعاليت‌هاي تفكيك ناپذير توليد كالاتوسط خانوارهاي معمولي براي خودمصرفي
9820,فعاليت‌هاي تفكيك ناپذير توليد خدمات توسط خانوارهاي معمولي براي خودمصرفي
9900,فعاليت‌هاي سازمان‌ها و هيئت‌هاي برون مرزي
X000,فعاليت هاي نامشخص
